iter	TotalF1	MultiClass
118	0.5325521672	1.430548413
119	0.5334182935	1.427831078
120	0.5333380183	1.425760833
121	0.5333357087	1.425713596
122	0.5333008544	1.42566904
123	0.5330709839	1.420136867
124	0.5333588141	1.414451753
125	0.5333461467	1.414409408
126	0.5357974853	1.410221446
127	0.5365894483	1.409766043
128	0.5348779096	1.405662476
129	0.5348779096	1.405622475
130	0.5346904967	1.403114504
131	0.5347862824	1.403077209
132	0.5350593391	1.399603573
133	0.5336840643	1.397393602
134	0.5336840643	1.397341765
135	0.5335468993	1.394958584
136	0.5352250111	1.392278679
137	0.5348143018	1.3894097
138	0.5365418374	1.388502667
139	0.5370368031	1.386428195
140	0.5378778238	1.384208596
141	0.5380496941	1.382430727
142	0.5369402088	1.378677945
143	0.5367350994	1.376328389
144	0.5367425872	1.374228086
145	0.5381727343	1.370156964
146	0.5390100687	1.36857161
147	0.5393509937	1.36593227
148	0.5384898192	1.364218246
149	0.5388829278	1.362116007
150	0.5388938408	1.361843469
151	0.5388938408	1.361814698
152	0.5386168319	1.361787552
153	0.5384013601	1.360137689
154	0.5380135412	1.356173771
155	0.53811973	1.355538406
156	0.5381257948	1.353246022
157	0.5386781385	1.352386353
158	0.538642798	1.350599479
159	0.5386573188	1.350038619
160	0.5386573188	1.350014139
161	0.5384988736	1.347634063
162	0.5384988736	1.347335747
163	0.5388408103	1.345397989
164	0.5388408103	1.345067153
165	0.5395116905	1.344755472
166	0.5393994479	1.342937653
167	0.5398520878	1.34122389
168	0.5403501604	1.339790612
169	0.5398648205	1.338827704
170	0.5400279524	1.336741248
171	0.5402766465	1.332666799
172	0.5407295537	1.331357338
173	0.5408244664	1.330817306
174	0.5407324028	1.330380129
175	0.5416405321	1.327871302
176	0.542037474	1.322946605
177	0.542037474	1.322898408
178	0.542276865	1.319887517
179	0.5428939495	1.317233323
180	0.5436639153	1.313371744
181	0.5437554989	1.312654911
182	0.5465787519	1.309566312
183	0.5443233746	1.307418008
184	0.5443273273	1.306030422
185	0.5471716693	1.304210796
186	0.5479466999	1.301142404
187	0.5478614414	1.301120385
188	0.5580521979	1.297524466
189	0.5559131311	1.294237916
190	0.5560829984	1.293225495
191	0.5562888824	1.290867009
192	0.5564866127	1.288223226
193	0.5569965996	1.286380809
194	0.5566597293	1.284085546
195	0.5566865348	1.284064612
196	0.5564064835	1.2838592
197	0.5567695128	1.283779144
198	0.556761481	1.283721974
199	0.5567669116	1.280443286
200	0.5566941301	1.276779772
201	0.5566941301	1.276761381
202	0.5578652113	1.276466368
203	0.5579696234	1.274863825
204	0.5578736074	1.274693207
205	0.5616183314	1.270576799
206	0.5617783583	1.268948225
207	0.5633056488	1.266326971
208	0.5633171937	1.266282453
209	0.563159041	1.264223963
210	0.5631618498	1.264207825
211	0.5631624979	1.264192593
212	0.562657939	1.260416202
213	0.5629838069	1.258779373
214	0.5629977038	1.257519209
215	0.5629937518	1.257467864
216	0.5629937518	1.257442901
217	0.5627028623	1.254509724
218	0.5627062422	1.252456203
219	0.5627062422	1.252441794
220	0.5628174044	1.252348199
221	0.562343769	1.251137071
222	0.5635211802	1.246894109
223	0.5635604195	1.244032513
224	0.5637966032	1.240134796
225	0.5637966032	1.240119746
226	0.5635174126	1.239001349
227	0.5629311582	1.236418887
228	0.5629674238	1.236403296
229	0.5649165626	1.235418779
230	0.5649233217	1.235404448
231	0.5640234808	1.234203603
232	0.5641858151	1.233669488
233	0.5646595744	1.230544166
234	0.5645812299	1.228949677
235	0.5643631674	1.22565541
236	0.5646077078	1.224075298
237	0.5653334576	1.220475199
238	0.566377807	1.217822868
239	0.5657839002	1.217605503
240	0.5656122784	1.216060719
241	0.5661832282	1.214690978
242	0.5660098208	1.214673689
243	0.5661854781	1.214450035
244	0.5666180239	1.212449877
245	0.5666928883	1.211843724
246	0.5673088665	1.210055435
247	0.5678483535	1.209869446
248	0.5678245865	1.206225993
249	0.5680458173	1.204082129
250	0.5687740378	1.202670864
251	0.5688489989	1.199906232
252	0.5694418639	1.198036371
253	0.5694394098	1.19620309
254	0.5699792472	1.192485577
255	0.5697950989	1.191801101
256	0.5712102418	1.18843616
257	0.5681020978	1.186010747
258	0.5703668113	1.183576365
259	0.5707286498	1.181913418
260	0.5697295922	1.180360339
261	0.57165428	1.179059344
262	0.5813022471	1.177148636
263	0.5838020914	1.174051461
264	0.5834860355	1.173515899
265	0.5848431157	1.170452441
266	0.5842405488	1.167763527
267	0.5841187878	1.166561468
268	0.5841187878	1.166539727
269	0.5844926705	1.163902621
270	0.5850924875	1.160809813
271	0.5855973313	1.157670907
272	0.5851001953	1.154787509
273	0.5855669029	1.151848756
274	0.5876835722	1.148553105
275	0.5882941208	1.146679861
276	0.5889250324	1.144093887
277	0.5895942357	1.143177302
278	0.5891878321	1.141039029
279	0.5903279599	1.139806507
280	0.5905243141	1.138640323
281	0.5917925416	1.13731143
282	0.5921564754	1.136310843
283	0.5927955294	1.133871407
284	0.5929853078	1.132801027
285	0.5932215852	1.131082924
286	0.5929141611	1.129366082
287	0.5942290328	1.126927201
288	0.5942454171	1.124819386
289	0.5944157478	1.123853956
290	0.5944653234	1.121867119
291	0.5945189305	1.120940159
292	0.5947258612	1.118248383
293	0.5949164853	1.116336027
294	0.5949871903	1.115117357
295	0.5945838692	1.112972861
296	0.5947159761	1.111523911
297	0.5954113392	1.10977349
298	0.5956609876	1.107533151
299	0.5959704679	1.106486029
300	0.595484102	1.103876927
301	0.5973906828	1.101253285
302	0.5973466687	1.099227744
303	0.5973357356	1.096520962
304	0.5984687214	1.094503902
305	0.5997532747	1.091688493
306	0.6004629861	1.089720912
307	0.600172052	1.088336128
308	0.5991324344	1.086849272
309	0.5997775028	1.085096745
310	0.5996387387	1.082397259
311	0.60318557	1.078631026
312	0.6031413487	1.076469807
313	0.6038923496	1.075165077
314	0.6058017545	1.07255944
315	0.6065906063	1.070578524
316	0.6063084418	1.069852096
317	0.6113402773	1.067843013
318	0.6113888534	1.066636784
319	0.6124981551	1.064245962
320	0.612712127	1.062359874
321	0.6126324765	1.059699166
322	0.6148400658	1.057709988
323	0.6148521095	1.055668751
324	0.6154102984	1.05411987
325	0.6160518514	1.051586499
326	0.6162607031	1.049620086
327	0.6175505875	1.046434134
328	0.6173139825	1.044540581
329	0.6202560651	1.042349488
330	0.6198344237	1.039979689
331	0.6206332695	1.038446924
332	0.6209211385	1.035898775
333	0.6219743972	1.034404408
334	0.6235360858	1.032166055
335	0.6240892182	1.029804916
336	0.6229663134	1.028067242
337	0.6231460759	1.026182692
338	0.6250121598	1.024831864
339	0.6272556206	1.023056532
340	0.6286952059	1.021949107
341	0.627858199	1.020269295
342	0.632091703	1.017731187
343	0.6339967887	1.016007179
344	0.6342384823	1.014873658
345	0.6369629756	1.012370933
346	0.6386288662	1.011626208
347	0.6384728472	1.010372628
348	0.6387244007	1.008377423
349	0.6387777549	1.007040363
350	0.6396676473	1.004979675
351	0.6401236701	1.002887331
352	0.6412774481	1.001362818
353	0.6428822398	1.000131206
354	0.6438734676	0.9982796721
355	0.6439990553	0.9964131577
356	0.6441727455	0.9948755677
357	0.6441947584	0.9934410225
358	0.6449765175	0.9919084305
359	0.6475683622	0.9898804105
360	0.6480771766	0.9880948319
361	0.654322917	0.985917789
362	0.6559476755	0.9847200745
363	0.6558082389	0.9835198829
364	0.6562066163	0.981901638
365	0.6604424583	0.980819137
366	0.6604598428	0.9789827317
367	0.6612098684	0.9769903232
368	0.661204001	0.9753324373
369	0.6611576479	0.9734343393
370	0.6617258031	0.9722581942
371	0.6621910462	0.9706750811
372	0.6626816308	0.9690225581
373	0.6626816308	0.9672334456
374	0.6629798471	0.9655394547
375	0.6645237027	0.963644808
376	0.6641722603	0.9617135069
377	0.6606429474	0.9607433147
378	0.6622218686	0.9590434386
379	0.6650839821	0.9578228725
380	0.6653195716	0.9562226074
381	0.6655666475	0.9547806858
382	0.6671791496	0.9536886747
383	0.6671780268	0.9529636954
384	0.6670698072	0.9520070462
385	0.6670592623	0.950616338
386	0.6678055444	0.9496178753
387	0.6690286011	0.9476104324
388	0.6687169152	0.9459029209
389	0.6699607902	0.9448853973
390	0.6699690382	0.9430907637
391	0.6704329463	0.9416530013
392	0.6711327519	0.9405373265
393	0.6712486583	0.93964938
394	0.6699133339	0.9376501005
395	0.670334043	0.9362454817
396	0.6709275353	0.935616076
397	0.6709234159	0.935038895
398	0.6725388293	0.9339386449
399	0.6699365961	0.9319207644
400	0.671554019	0.9311406862
401	0.6727917124	0.9296513737
402	0.673263711	0.9277708107
403	0.673263711	0.9262729048
404	0.6732604504	0.9255540677
405	0.67325575	0.9247884054
406	0.6747472836	0.9236705502
407	0.6750455312	0.9228714926
408	0.6750238331	0.9216479752
409	0.6733076056	0.9207948966
410	0.6742256429	0.918913069
411	0.6744354343	0.9176125282
412	0.6752060487	0.9163162422
413	0.6751860523	0.91480401
414	0.6752259709	0.9134311396
415	0.6754271445	0.9119078452
416	0.6756429545	0.9109095548
417	0.6754402616	0.9094102118
418	0.6758390074	0.907726848
419	0.6794878489	0.9058848939
420	0.679506828	0.9049958433
421	0.6795645065	0.9040577508
422	0.6792860264	0.902678361
423	0.6793415194	0.9015034079
424	0.6788567199	0.9000985086
425	0.6793938672	0.8989118206
426	0.6789485903	0.8979564679
427	0.6766535012	0.8964253701
428	0.677873439	0.8960596711
429	0.6783804336	0.8952009423
430	0.6772473054	0.894462336
431	0.6792880095	0.8931866881
432	0.6826241781	0.8919349062
433	0.6809813341	0.8906844348
434	0.6811211297	0.890324746
435	0.6807829791	0.889448304
436	0.6838106759	0.8880478391
437	0.6859923028	0.8871300919
438	0.6875074354	0.8857555794
439	0.6887541273	0.8842521098
440	0.6888806866	0.883358979
441	0.688972334	0.8820878735
442	0.6891096231	0.8810901678
443	0.690238944	0.879846113
444	0.6906045533	0.8789338225
445	0.6907511234	0.8778498062
446	0.6909450373	0.8761240835
447	0.6913406816	0.8752401755
448	0.6911587848	0.8742872283
449	0.6916861562	0.8729128576
450	0.6918993323	0.8718190358
451	0.69221809	0.871183926
452	0.6917135791	0.8706106638
453	0.6948591957	0.8695584805
454	0.6932491036	0.8686464167
455	0.693536994	0.8676124255
456	0.6948766751	0.8664330971
457	0.6961121328	0.8654262652
458	0.6965336982	0.8642270166
459	0.6950523801	0.8632925586
460	0.6991834809	0.8625342295
461	0.6996929884	0.8618412732
462	0.7005949673	0.8604261298
463	0.6997329361	0.8596268679
464	0.7002942111	0.8584747304
465	0.7018590573	0.8573363376
466	0.7006633646	0.8564266989
467	0.7006639033	0.855811681
468	0.7005777084	0.8552363435
469	0.7006683424	0.8542245055
470	0.7049223018	0.8528450029
471	0.7053611318	0.8518743921
472	0.7067072259	0.850834686
473	0.7053915102	0.8498635505
474	0.7066713984	0.8486887583
475	0.7050389776	0.8478889974
476	0.7044308074	0.8469981902
477	0.7044022635	0.8462972828
478	0.7046733141	0.8454430844
479	0.7046669868	0.8446315947
480	0.704665712	0.843961073
481	0.7046645315	0.8431496018
482	0.7046691279	0.8424272326
483	0.7064826774	0.8414139169
484	0.7068012372	0.840694893
485	0.7067497407	0.8392940083
486	0.706824278	0.8385526429
487	0.7070164479	0.8377078396
488	0.707397588	0.8369787785
489	0.7073952672	0.836232914
490	0.7060399361	0.8358689753
491	0.7091537392	0.8350227909
492	0.7091909592	0.8343507784
493	0.7090808009	0.8333407342
494	0.7104137593	0.8327673538
495	0.7104444668	0.8322519768
496	0.7104559352	0.8316034499
497	0.7103091517	0.8309316659
498	0.7105258284	0.8292995771
499	0.7118599618	0.8286874807
500	0.7122087976	0.8278690833
501	0.7121048632	0.8270350043
502	0.7121118988	0.8259479462
503	0.7111427204	0.8253249654
504	0.7112863399	0.824729684
505	0.7113906607	0.8238358937
506	0.7113905339	0.823361915
507	0.7123235081	0.8224580354
508	0.7147965081	0.8218650607
509	0.7160696504	0.8213125054
510	0.7160723491	0.8204613275
511	0.7160725363	0.8199456931
512	0.7160697145	0.8197338493
513	0.716142658	0.8192917613
514	0.7161608126	0.8184948012
515	0.7173433431	0.8173801878
516	0.7173444725	0.8167264211
517	0.7160843681	0.8161834236
518	0.7160862656	0.8155634235
519	0.7167614575	0.8145974799
520	0.7170942872	0.8135356197
521	0.7180050921	0.8131540031
522	0.7182209138	0.812542102
523	0.7183428621	0.8116819783
524	0.7183455371	0.8112900614
525	0.7183455371	0.810906794
526	0.7185547227	0.8103914833
527	0.7197832647	0.8091733597
528	0.7185275919	0.8084349469
529	0.7189303043	0.8077535183
530	0.7203454863	0.8069630379
531	0.7205007343	0.8064073208
532	0.7217405949	0.8056468899
533	0.721731893	0.8045340577
534	0.7217262242	0.8033489514
535	0.7217219831	0.8029723155
536	0.7213800863	0.8025380499
537	0.7219528667	0.80169848
538	0.7218337215	0.8010012214
539	0.7218359714	0.8007759547
540	0.7235082994	0.7999084634
541	0.7234077507	0.7992290098
542	0.7233333279	0.7987193482
543	0.7245088353	0.7981969417
544	0.7246614004	0.7976402372
545	0.7246593409	0.7969590423
546	0.7246593409	0.7963920629
547	0.7247667444	0.7956926943
548	0.7250847843	0.7948037597
549	0.72518166	0.7943967024
550	0.7252880874	0.7939324593
551	0.7264208226	0.793493002
552	0.7262742485	0.792561416
553	0.7262349724	0.7919225671
554	0.726424279	0.7912479609
555	0.7287442308	0.7906855789
556	0.7287264376	0.7899253188
557	0.7287293383	0.7894440911
558	0.7287361574	0.788744994
559	0.7287330325	0.7881389093
560	0.728905115	0.7874996448
561	0.7291621129	0.7869128616
562	0.7290199731	0.7863605335
563	0.7302767155	0.7853472046
564	0.7306546711	0.7848232171
565	0.730649183	0.7837933101
566	0.730537402	0.7832968049
567	0.7305845202	0.7828703392
568	0.7306045987	0.7825859726
569	0.7308856891	0.782024827
570	0.7308165613	0.7813417531
571	0.7310908875	0.7809026807
572	0.7312948743	0.7806530087
573	0.7312907004	0.780254972
574	0.7312852521	0.7798660149
575	0.7312846039	0.7796183755
576	0.7311886757	0.7790611753
577	0.7309806636	0.7785053233
578	0.731747368	0.7778459953
579	0.7319419229	0.7768993332
580	0.7323553448	0.7761476484
581	0.7324643535	0.7753937722
582	0.7324698115	0.7743968508
583	0.7324698115	0.7739172755
584	0.7324698115	0.7731510593
585	0.7324949907	0.7727913351
586	0.7325731156	0.7723591999
